Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	_bcr-abl1_negative	1/2	0.1198202994496127	0.40738901812868317	15.182944259171034	32.214596654587254	CSF3R
gs_ind_0	angiosarcoma	1/2	0.1198202994496127	0.40738901812868317	15.182944259171034	32.214596654587254	PTPRB
gs_ind_0	atypical_chronic_myeloid_leukemia	1/2	0.1198202994496127	0.40738901812868317	15.182944259171034	32.214596654587254	CSF3R
gs_ind_0	breast_cancer	2/48	0.8058156051267131	0.8841061246524122	0.814758410632701	0.17590661820551667	PGR;ERBB4
gs_ind_0	cancer	2/48	0.8058156051267131	0.8841061246524122	0.814758410632701	0.17590661820551667	ROBO4;NTRK3
gs_ind_0	chronic_lymphocytic_leukemia	1/10	0.47181104002739127	0.8576202875488398	2.3961034076377223	1.799897080508127	BTK
gs_ind_0	chronic_neutrophilic_leukemia	1/1	0.061819252281424784	0.40738901812868317	45.55169128156265	126.79497467615464	CSF3R
gs_ind_0	colorectal_cancer	1/49	0.9563429838692377	0.9563429838692377	0.46819054729056053	0.020899398906439305	EPAS1
gs_ind_0	gastrointestinal_stromal_tumor	1/4	0.22529571877423776	0.5471467455945774	6.506159395630572	9.696398923894613	NTRK3
gs_ind_0	head_and_neck_squamous_cell_carcinoma	1/23	0.769769301695759	0.8841061246524122	1.01086231538828	0.2645066986388939	ALDH1A2
gs_ind_0	lung_adenocarcinoma	1/22	0.7545778083746093	0.8841061246524122	1.0579456441051664	0.2979141929559914	ROS1
gs_ind_0	lung_non-small_cell_carcinoma	2/51	0.8320998820257998	0.8841061246524122	0.7652346064363231	0.14065225938248355	NTRK3;ROS1
gs_ind_0	melanoma	2/27	0.5039760433776376	0.8576202875488398	1.487699514712895	1.0194111984966923	PREX2;ERBB4
gs_ind_0	meningioma	1/2	0.1198202994496127	0.40738901812868317	15.182944259171034	32.214596654587254	LEPR
gs_ind_0	ovarian_cancer	1/22	0.7545778083746093	0.8841061246524122	1.0579456441051664	0.2979141929559914	ABCG2
gs_ind_0	renal_cell_carcinoma	1/11	0.5044825220875528	0.8576202875488398	2.1677669638603416	1.4832340292426691	EPAS1
gs_ind_0	rhabdomyosarcoma	1/4	0.22529571877423776	0.5471467455945774	6.506159395630572	9.696398923894613	IL6
